id,fiducial,x,y,x2,y2,peak,flux,xWokMeasMetrology,yWokMeasMetrology,xWokMeasBOSS,yWokMeasBOSS,alphaMeas,betaMeas,xWokDitherFit,yWokDitherFit,sigmaWokDitherFit,configID,telAlt,telAz,telRot,FVC_SCL,FVC_TRAX,FVC_TRAY,FVC_ROT,FVC_ZB0,FVC_ZB1,FVC_ZB2,FVC_ZB3,FVC_ZB4,FVC_ZB5,FVC_ZB6,FVC_ZB9,FVC_ZB20,FVC_ZB27,FVC_ZB28,FVC_ZB29,FVC_ZB30,fvcImgNum,mjd
P997,False,2174.6462915590464,4304.951821106621,5.931821324246229,6.039540002846451,36090.44921875,393594.71875,176.34875687391389,14.980143495142588,175.63519614221264,14.770944839456712,213.83967179300762,102.04594475021784,175.63853867921725,14.765419196750878,0.0352078427258253,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P999,False,1727.6545511620964,5169.293581702354,6.129214353421219,5.928589390868751,33555.7890625,374117.625,295.66998982007055,13.365595024622342,295.90886437280324,14.071917074355975,84.4388587638875,105.92158031887213,295.89959847839856,14.06413718438726,0.0320902464073557,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1000,False,2627.356674172471,3854.288245453114,5.404218796229344,5.6389646089111665,31792.806640625,302299.21875,102.33934870870873,-7.508484354076525,102.4264700990273,-6.776327467607427,81.04446240128556,121.97965088395709,102.4267985857072,-6.768531693715525,0.0329293678878103,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1004,False,5297.890600137213,3049.736240450752,4.950289607851538,12.109189684036835,13498.4677734375,182020.125,-136.12239292432392,-247.24549404030975,-135.4765374103235,-246.890160849589,14.954533452711004,132.1472874270544,-135.47137621956892,-246.87682869377187,0.037374037080006,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1009,False,5401.90670149191,3283.1448052883643,5.263135058353683,8.022187005541568,20691.572265625,217389.484375,-117.21243666688592,-272.00833762912777,-117.21862652517683,-272.76738661288977,352.3925623909599,37.457099389820904,-117.21411873949202,-272.74437816619616,0.038629741199869,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1012,False,2878.2784127277137,2662.059928306525,6.545920140277175,11.071543408999645,22912.091796875,315470.6875,-38.617142072805045,33.65074177229961,-38.83477167481073,34.36211838675901,130.03788118891293,96.9866372239283,-38.8624058460139,34.37232536227334,0.0317965708288342,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1013,False,1084.2687913260347,3421.548276974129,5.679484556830644,5.479764501054433,34097.3203125,366853.53125,144.79721035867578,181.86807630811316,145.28214987149747,181.30619326517026,336.98808256321894,90.35248705885924,145.27512979588326,181.2752686306011,0.0348191622512854,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1016,False,2738.846369856748,3501.4181489076714,5.902707144121891,5.938200709541277,42082.52734375,388867.40625,58.455034443639,0.7251144134980627,58.464630143017544,-0.00884797852312147,324.6705857970699,64.12169814982967,58.46246427920487,-0.0160570570951814,0.0314968213411057,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1017,False,1741.4918129319938,3841.1679515089045,5.794674825537257,5.897598563160713,38485.58203125,393094.3125,151.65403453107356,87.53840905783348,151.90123512549948,86.91480848589958,293.96402163165163,128.22634744092986,151.8999549814065,86.83243175360438,0.0359116124853037,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1019,False,1464.199554768201,4656.930501702132,5.573494732263427,5.79504914887233,33000.0,379289.71875,255.38811260039355,70.84093562533437,255.2850186836369,71.58836349335357,103.10756596286454,115.12628538757599,255.28315170325945,71.5957827032833,0.0384146831368798,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1023,False,1944.15065516819,4684.484729337603,5.875706480233646,6.006397528497146,39133.265625,388147.3125,230.42956516266472,17.920088245108314,231.1639712944171,17.79760312017103,34.169972853313716,73.55902162215143,231.18265155733275,17.797513666083255,0.036346657407423,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1025,False,4415.9594037751285,3027.633850724803,5.105556139108458,12.652036065253895,15139.9111328125,204846.34375,-87.47459179446552,-150.80542736898659,-87.91767069187381,-151.41854884836604,275.6595358252345,77.70115368400927,-87.90939139709094,-151.43247620960108,0.0343713474175512,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1026,False,3362.175484265575,1629.7527977462762,5.975017291062954,6.0468650563635435,38818.07421875,379030.8125,-176.25985031045536,41.08793070740516,-176.96440814482955,41.31830102299125,226.6611664126169,53.49768909681845,-176.97012713407668,41.306192257625945,0.036024172521162,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1028,False,1959.0414877951312,2028.9656315911818,5.6084699147679515,5.661001453374084,48372.21875,409839.53125,-53.71100392470584,167.70441163256322,-54.446155257068895,167.74446160573757,272.83643467803995,24.518987662324204,-54.4402508356831,167.72975997077685,0.0320774727249629,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1032,False,3012.2854272292507,2109.6449660827234,6.201531688452334,6.426602159717305,42409.5703125,452339.46875,-105.00660878401229,50.88533403782601,-104.62718620084482,51.52717263231753,74.15029164273,105.7817386877016,-104.65835347387832,51.49826393371724,0.0312323554404167,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1036,False,2625.103315380729,3697.69514896157,5.887632844005424,5.801860238722824,39470.1171875,392319.75,85.8009019179447,1.6418983790305026,86.56454649083545,1.5910006443852664,51.2718764675603,63.88748336570922,86.56328879618367,1.5878566154703373,0.0310734694804597,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1037,False,2437.41112206727,2765.6467227849153,5.120697284175719,13.012230136676294,24670.291015625,307757.71875,-2.5435313105218214,74.59304129186228,-1.8570295312256313,74.29493569272339,53.25504642464358,41.66405107214704,-1.8718805199304749,74.289318830868,0.0324068044215734,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1039,False,4097.739763463971,1619.290476422944,5.879311205800093,5.6648573931409345,31763.4140625,299972.625,-219.70229957451275,-36.702428258055804,-220.05646738409138,-37.361849991236895,292.6148935157493,68.48290476132193,-220.0653641155716,-37.36214344535064,0.0337251896829908,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P1044,False,996.652853051286,2588.622282290792,5.229668505088895,9.996501168418035,29202.470703125,309649.03125,60.94944633818499,238.99399112688008,61.2294122173532,238.2928100073306,304.04104274015765,105.64381387522855,61.220823511942704,238.287214813396,0.0343915644701614,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
